Threshold,Accuracy,Precision,Recall,Specificity,Negative Predictive Value,F1 Score,Balanced Accuracy,ROC AUC,PR AUC,Matthews Correlation Coefficient,Log Loss,True Negatives,False Positives,False Negatives,True Positives,False Positive Rate,False Negative Rate
0.2899999999999999,0.8079219288174512,0.6059692493216762,0.8459595959595959,0.7936532996526682,0.932134248099388,0.7061303354997365,0.819806447806132,0.9050400994472673,0.7881839093508949,0.5866668016213065,0.3399088602122364,5027,1307,366,2010,0.20634670034733185,0.15404040404040403
0.29999999999999993,0.8126291618828932,0.6150278293135436,0.8371212121212122,0.8034417429744237,0.9293279766252739,0.7090909090909091,0.820281477547818,0.9050400994472673,0.7881839093508949,0.5905033138566078,0.3399088602122364,5089,1245,387,1989,0.19655825702557625,0.16287878787878787
0.30999999999999994,0.8159586681974742,0.6220397852857594,0.8291245791245792,0.8110198926428797,0.9267544650911059,0.7108064225148837,0.8200722358837294,0.9050400994472673,0.7881839093508949,0.5927120764051607,0.3399088602122364,5137,1197,406,1970,0.1889801073571203,0.17087542087542087
0.3199999999999999,0.8206659012629162,0.6318859364873622,0.8207070707070707,0.8206504578465424,0.9242532005689901,0.7140241669718052,0.8206787642768065,0.9050400994472673,0.7881839093508949,0.5972302926630575,0.3399088602122364,5198,1136,426,1950,0.17934954215345753,0.17929292929292928
0.32999999999999985,0.8246842709529276,0.6411706019288327,0.8114478114478114,0.8296495105778339,0.9214448535858321,0.7163291844696266,0.8205486610128226,0.9050400994472673,0.7881839093508949,0.6005757752862583,0.3399088602122364,5255,1079,448,1928,0.1703504894221661,0.18855218855218855
0.33999999999999986,0.8280137772675086,0.6496250852079073,0.8021885521885522,0.8377012946005684,0.9186288088642659,0.7178907721280603,0.8199449233945604,0.9050400994472673,0.7881839093508949,0.6030090357657703,0.3399088602122364,5306,1028,470,1906,0.16229870539943164,0.1978114478114478
0.34999999999999987,0.8312284730195177,0.6581703910614525,0.7933501683501684,0.8454373223871171,0.9160109476565172,0.7194656488549618,0.8193937453686427,0.9050400994472673,0.7881839093508949,0.6056235271089023,0.3399088602122364,5355,979,491,1885,0.15456267761288286,0.20664983164983164
0.3599999999999999,0.8332950631458094,0.6646471846044191,0.7849326599326599,0.8514366908746448,0.9134485094850948,0.7197993052875338,0.8181846754036524,0.9050400994472673,0.7881839093508949,0.6065330836419743,0.3399088602122364,5393,941,511,1865,0.14856330912535523,0.21506734006734007
0.3699999999999999,0.8352468427095293,0.6716526815031011,0.7748316498316499,0.8579096937164509,0.9103702462724075,0.719562243502052,0.8163706717740504,0.9050400994472673,0.7881839093508949,0.6068525103321848,0.3399088602122364,5434,900,535,1841,0.1420903062835491,0.22516835016835016
0.3799999999999999,0.8376578645235362,0.6801498127340824,0.7643097643097643,0.8651720871487212,0.9072847682119205,0.7197780420134761,0.8147409257292427,0.9050400994472673,0.7881839093508949,0.6080949001797578,0.3399088602122364,5480,854,560,1816,0.13482791285127882,0.2356902356902357
0.3899999999999999,0.8375430539609644,0.683466972126766,0.7533670033670034,0.869119040101042,0.9037924807092431,0.7167167167167167,0.8112430217340227,0.9050400994472673,0.7881839093508949,0.6046162529117923,0.3399088602122364,5505,829,586,1790,0.130880959898958,0.24663299663299662
0.3999999999999998,0.8380022962112514,0.6873786407766991,0.7449494949494949,0.87290811493527,0.9012224938875305,0.7150070692789335,0.8089288049423824,0.9050400994472673,0.7881839093508949,0.6030519797157634,0.3399088602122364,5529,805,606,1770,0.12709188506473001,0.255050505050505
0.4099999999999998,0.8394948335246842,0.6946656050955414,0.7344276094276094,0.8789074834227976,0.8981929654727331,0.7139934533551555,0.8066675464252036,0.9050400994472673,0.7881839093508949,0.6030099223285237,0.3399088602122364,5567,767,631,1745,0.1210925165772024,0.26557239057239057
0.4199999999999998,0.8394948335246842,0.6989422294548413,0.7230639730639731,0.883170192611304,0.8947536788227767,0.7107985105502689,0.8031170828376386,0.9050400994472673,0.7881839093508949,0.5999322825282097,0.3399088602122364,5594,740,658,1718,0.11682980738869593,0.2769360269360269
0.4299999999999998,0.8399540757749713,0.702892561983471,0.7159090909090909,0.8864856330912535,0.8926868044515104,0.7093411175979983,0.8011973620001722,0.9050400994472673,0.7881839093508949,0.5989773518789342,0.3399088602122364,5615,719,675,1701,0.11351436690874644,0.2840909090909091
